Time_s,FP1_COFP_X,FP1_COFP_Y,FP2_COFP_X,FP2_COFP_Y,FP1_COFP_Z,FP2_COFP_Z
0.000000,,,,,,
0.005000,,,,,,
0.010000,,,,,,
0.015000,,,,,,
0.020000,,,,,,
0.025000,,,,,,
0.030000,,,,,,
0.035000,,,,,,
0.040000,,,,,,
0.045000,,,,,,
0.050000,,,,,,
0.055000,,,,,,
0.060000,,,,,,
0.065000,,,,,,
0.070000,,,,,,
0.075000,,,,,,
0.080000,,,,,,
0.085000,,,,,,
0.090000,,,,,,
0.095000,,,,,,
0.100000,,,,,,
0.105000,,,,,,
0.110000,,,,,,
0.115000,,,,,,
0.120000,,,,,,
0.125000,,,,,,
0.130000,,,,,,
0.135000,,,,,,
0.140000,,,,,,
0.145000,,,,,,
0.150000,,,,,,
0.155000,,,,,,
0.160000,,,,,,
0.165000,,,,,,
0.170000,,,,,,
0.175000,,,,,,
0.180000,,,,,,
0.185000,,,,,,
0.190000,,,,,,
0.195000,,,,,,
0.200000,,,,,,
0.205000,,,,,,
0.210000,,,,,,
0.215000,,,,,,
0.220000,,,,,,
0.225000,,,,,,
0.230000,,,,,,
0.235000,,,,,,
0.240000,,,,,,
0.245000,,,,,,
0.250000,,,,,,
0.255000,,,,,,
0.260000,,,,,,
0.265000,,,,,,
0.270000,,,,,,
0.275000,,,,,,
0.280000,,,,,,
0.285000,,,,,,
0.290000,,,,,,
0.295000,,,,,,
0.300000,,,,,,
0.305000,,,,,,
0.310000,,,,,,
0.315000,,,,,,
0.320000,,,,,,
0.325000,,,,,,
0.330000,,,,,,
0.335000,,,,,,
0.340000,,,,,,
0.345000,,,,,,
0.350000,,,,,,
0.355000,,,,,,
0.360000,,,,,,
0.365000,,,,,,
0.370000,,,,,,
0.375000,,,,,,
0.380000,,,,,,
0.385000,,,,,,
0.390000,,,,,,
0.395000,,,,,,
0.400000,,,,,,
0.405000,,,,,,
0.410000,,,,,,
0.415000,,,,,,
0.420000,,,,,,
0.425000,,,,,,
0.430000,,,,,,
0.435000,,,,,,
0.440000,,,,,,
0.445000,,,,,,
0.450000,,,,,,
0.455000,,,,,,
0.460000,,,,,,
0.465000,,,,,,
0.470000,,,,,,
0.475000,,,,,,
0.480000,,,,,,
0.485000,,,,,,
0.490000,,,,,,
0.495000,,,,,,
0.500000,,,,,,
0.505000,,,,,,
0.510000,,,,,,
0.515000,,,,,,
0.520000,,,,,,
0.525000,,,,,,
0.530000,,,,,,
0.535000,,,,,,
0.540000,,,,,,
0.545000,,,,,,
0.550000,,,,,,
0.555000,,,,,,
0.560000,,,,,,
0.565000,,,,,,
0.570000,,,,,,
0.575000,,,,,,
0.580000,,,,,,
0.585000,,,,,,
0.590000,,,,,,
0.595000,,,,,,
0.600000,,,,,,
0.605000,,,,,,
0.610000,,,,,,
0.615000,,,,,,
0.620000,,,,,,
0.625000,,,,,,
0.630000,,,,,,
0.635000,,,,,,
0.640000,,,,,,
0.645000,,,,,,
0.650000,,,,,,
0.655000,,,,,,
0.660000,,,,,,
0.665000,,,,,,
0.670000,,,,,,
0.675000,,,,,,
0.680000,,,,,,
0.685000,,,,,,
0.690000,,,,,,
0.695000,,,,,,
0.700000,,,,,,
0.705000,,,,,,
0.710000,,,,,,
0.715000,,,,,,
0.720000,,,,,,
0.725000,,,,,,
0.730000,,,,,,
0.735000,,,,,,
0.740000,,,,,,
0.745000,,,,,,
0.750000,,,,,,
0.755000,,,,,,
0.760000,,,,,,
0.765000,,,,,,
0.770000,,,,,,
0.775000,,,,,,
0.780000,,,,,,
0.785000,,,,,,
0.790000,,,,,,
0.795000,,,0.258540,0.174882,,-0.174882
0.800000,,,0.397297,0.097638,,-0.097638
0.805000,,,0.377706,0.110245,,-0.110245
0.810000,,,0.400680,0.159084,,-0.159084
0.815000,,,0.423025,0.183789,,-0.183789
0.820000,,,0.437726,0.160091,,-0.160091
0.825000,,,0.436198,0.169244,,-0.169244
0.830000,,,0.432355,0.203205,,-0.203205
0.835000,,,0.435874,0.205999,,-0.205999
0.840000,,,0.436878,0.198752,,-0.198752
0.845000,,,0.442301,0.191142,,-0.191142
0.850000,,,0.451635,0.183420,,-0.183420
0.855000,,,0.458059,0.175744,,-0.175744
0.860000,,,0.462304,0.165141,,-0.165141
0.865000,,,0.465587,0.155155,,-0.155155
0.870000,,,0.471161,0.152544,,-0.152544
0.875000,,,0.471118,0.154749,,-0.154749
0.880000,,,0.472640,0.150378,,-0.150378
0.885000,,,0.472376,0.153591,,-0.153591
0.890000,,,0.471525,0.156276,,-0.156276
0.895000,,,0.472158,0.155201,,-0.155201
0.900000,,,0.474072,0.152346,,-0.152346
0.905000,,,0.475647,0.148174,,-0.148174
0.910000,,,0.479253,0.141960,,-0.141960
0.915000,,,0.480661,0.140499,,-0.140499
0.920000,,,0.482703,0.138434,,-0.138434
0.925000,,,0.486181,0.138616,,-0.138616
0.930000,,,0.487626,0.136761,,-0.136761
0.935000,,,0.492144,0.135558,,-0.135558
0.940000,,,0.493256,0.137328,,-0.137328
0.945000,,,0.492554,0.132977,,-0.132977
0.950000,,,0.497856,0.137747,,-0.137747
0.955000,,,0.495671,0.137686,,-0.137686
0.960000,,,0.497836,0.142285,,-0.142285
0.965000,,,0.496337,0.142305,,-0.142305
0.970000,,,0.498381,0.141905,,-0.141905
0.975000,,,0.500112,0.144246,,-0.144246
0.980000,,,0.502249,0.142775,,-0.142775
0.985000,,,0.498512,0.147154,,-0.147154
0.990000,,,0.498599,0.150651,,-0.150651
0.995000,,,0.502082,0.157228,,-0.157228
1.000000,,,0.503120,0.153817,,-0.153817
1.005000,,,0.507674,0.141636,,-0.141636
1.010000,,,0.509884,0.145061,,-0.145061
1.015000,,,0.509710,0.134003,,-0.134003
1.020000,,,0.494616,0.118649,,-0.118649
1.025000,,,0.509372,0.132551,,-0.132551
1.030000,,,0.497999,0.072540,,-0.072540
1.035000,,,0.489387,0.135190,,-0.135190
1.040000,,,0.423245,0.159309,,-0.159309
1.045000,,,0.538641,0.209013,,-0.209013
1.050000,,,,,,
1.055000,,,,,,
1.060000,,,,,,
1.065000,,,,,,
1.070000,,,,,,
1.075000,,,,,,
1.080000,,,,,,
1.085000,,,,,,
1.090000,,,,,,
1.095000,,,,,,
1.100000,,,,,,
1.105000,,,,,,
1.110000,,,,,,
1.115000,,,,,,
1.120000,,,,,,
1.125000,,,,,,
1.130000,,,,,,
1.135000,,,,,,
1.140000,,,,,,
1.145000,,,,,,
1.150000,,,,,,
1.155000,,,,,,
1.160000,,,,,,
1.165000,,,,,,
1.170000,,,,,,
1.175000,,,,,,
1.180000,,,,,,
1.185000,,,,,,
1.190000,,,,,,
1.195000,,,,,,
1.200000,,,,,,
1.205000,,,,,,
1.210000,,,,,,
1.215000,,,,,,
1.220000,,,,,,
1.225000,,,,,,
1.230000,,,,,,
1.235000,,,,,,
1.240000,,,,,,
1.245000,,,,,,
1.250000,,,,,,
1.255000,,,,,,
1.260000,,,,,,
1.265000,,,,,,
1.270000,,,,,,
1.275000,,,,,,
1.280000,,,,,,
1.285000,,,,,,
1.290000,,,,,,
1.295000,,,,,,
1.300000,,,,,,
1.305000,,,,,,
1.310000,,,,,,
1.315000,,,,,,
1.320000,,,,,,
1.325000,,,,,,
1.330000,,,,,,
1.335000,,,,,,
1.340000,,,,,,
1.345000,,,,,,
1.350000,,,,,,
1.355000,,,,,,
1.360000,,,,,,
1.365000,,,,,,
1.370000,,,,,,
1.375000,,,,,,
1.380000,,,,,,
1.385000,,,,,,
1.390000,,,,,,
1.395000,,,,,,
1.400000,,,,,,
1.405000,,,,,,
1.410000,,,,,,
1.415000,,,,,,
1.420000,,,,,,
1.425000,,,,,,
1.430000,,,,,,
1.435000,,,,,,
1.440000,,,,,,
1.445000,,,,,,
1.450000,,,,,,
1.455000,,,,,,
1.460000,,,,,,
1.465000,,,,,,
1.470000,,,,,,
1.475000,,,,,,
1.480000,,,,,,
1.485000,,,,,,
1.490000,,,,,,
1.495000,,,,,,
1.500000,,,,,,
1.505000,,,,,,
1.510000,,,,,,
1.515000,,,,,,
1.520000,,,,,,
