Time_s,LSHO_X,LSHO_Y,LSHO_Z,LSHO_Residual,RSHO_X,RSHO_Y,RSHO_Z,RSHO_Residual,LICST_X,LICST_Y,LICST_Z,LICST_Residual,RICST_X,RICST_Y,RICST_Z,RICST_Residual,LASIS_X,LASIS_Y,LASIS_Z,LASIS_Residual,RASIS_X,RASIS_Y,RASIS_Z,RASIS_Residual,LTROC_X,LTROC_Y,LTROC_Z,LTROC_Residual,RTROC_X,RTROC_Y,RTROC_Z,RTROC_Residual,SACR_X,SACR_Y,SACR_Z,SACR_Residual,LTH1_X,LTH1_Y,LTH1_Z,LTH1_Residual,LTH2_X,LTH2_Y,LTH2_Z,LTH2_Residual,LTH3_X,LTH3_Y,LTH3_Z,LTH3_Residual,LTH4_X,LTH4_Y,LTH4_Z,LTH4_Residual,RTH1_X,RTH1_Y,RTH1_Z,RTH1_Residual,RTH2_X,RTH2_Y,RTH2_Z,RTH2_Residual,RTH3_X,RTH3_Y,RTH3_Z,RTH3_Residual,RTH4_X,RTH4_Y,RTH4_Z,RTH4_Residual,LLEP_X,LLEP_Y,LLEP_Z,LLEP_Residual,RLEP_X,RLEP_Y,RLEP_Z,RLEP_Residual,LSK1_X,LSK1_Y,LSK1_Z,LSK1_Residual,LSK2_X,LSK2_Y,LSK2_Z,LSK2_Residual,LSK3_X,LSK3_Y,LSK3_Z,LSK3_Residual,LSK4_X,LSK4_Y,LSK4_Z,LSK4_Residual,RSK1_X,RSK1_Y,RSK1_Z,RSK1_Residual,RSK2_X,RSK2_Y,RSK2_Z,RSK2_Residual,RSK3_X,RSK3_Y,RSK3_Z,RSK3_Residual,RSK4_X,RSK4_Y,RSK4_Z,RSK4_Residual,LLME_X,LLME_Y,LLME_Z,LLME_Residual,RLME_X,RLME_Y,RLME_Z,RLME_Residual,LTOE_X,LTOE_Y,LTOE_Z,LTOE_Residual,LHM5_X,LHM5_Y,LHM5_Z,LHM5_Residual,LHEEL_X,LHEEL_Y,LHEEL_Z,LHEEL_Residual,RTOE_X,RTOE_Y,RTOE_Z,RTOE_Residual,RHM5_X,RHM5_Y,RHM5_Z,RHM5_Residual,RHEEL_X,RHEEL_Y,RHEEL_Z,RHEEL_Residual,RFT1_X,RFT1_Y,RFT1_Z,RFT1_Residual,RFT2_X,RFT2_Y,RFT2_Z,RFT2_Residual,LFT1_X,LFT1_Y,LFT1_Z,LFT1_Residual,LFT2_X,LFT2_Y,LFT2_Z,LFT2_Residual
0.000000,-2498.714600,1439.787231,-446.189392,1.000000,-2584.786621,1445.354736,-138.712830,1.000000,-2507.395752,1031.994751,-431.717438,1.000000,-2523.600342,1049.752319,-121.375061,1.000000,-2472.119141,966.970459,-419.072968,1.000000,-2474.327393,997.960022,-141.099319,1.000000,-2616.653320,960.496643,-411.832489,1.000000,-2573.350098,934.593384,-107.609215,1.000000,-2624.709473,1040.569458,-280.285767,1.000000,-2601.603760,714.270935,-435.118622,1.000000,-2678.489502,745.388000,-416.593170,1.000000,-2642.226074,622.269470,-424.413025,1.000000,-2713.928955,649.157715,-404.164032,1.000000,-2408.179688,749.163330,-114.109764,1.000000,-2481.270752,717.906189,-120.662819,1.000000,-2367.354248,660.017395,-128.254028,1.000000,-2440.181641,627.365295,-133.010818,1.000000,-2738.776855,534.035889,-405.750153,1.000000,-2369.619385,527.973816,-136.644150,1.000000,-2784.589600,434.857513,-403.383911,1.000000,-2844.553467,488.054077,-383.670380,1.000000,-2850.804688,359.148468,-386.180878,1.000000,-2905.387451,412.998779,-361.530792,1.000000,-2320.153809,429.247437,-153.971985,1.000000,-2394.833008,423.295837,-122.201591,1.000000,-2309.587646,330.285492,-169.100021,1.000000,-2389.897461,318.233215,-139.953110,1.000000,-2973.838135,240.429947,-344.265198,1.000000,-2342.386963,137.009933,-180.259827,1.000000,-2903.459961,71.781906,-305.628784,1.000000,-2957.864990,104.725952,-355.708893,1.000000,-3012.872559,282.346130,-280.875549,1.000000,-2162.917236,167.344894,-215.784653,1.000000,-2206.694336,121.207542,-157.142120,1.000000,-2394.341553,109.849617,-240.231201,1.000000,-2368.396973,91.171722,-272.968353,1.000000,-2381.003174,81.471733,-216.822479,1.000000,-3021.222168,262.234680,-249.018738,1.000000,-3041.826416,264.562378,-301.072754,1.000000
0.005000,-2482.402832,1441.466309,-445.523071,1.000000,-2568.246582,1445.402832,-137.931534,1.000000,-2489.799561,1033.697388,-431.899597,1.000000,-2505.996826,1050.341553,-121.707130,1.000000,-2454.314453,968.514771,-419.023926,1.000000,-2456.598633,998.099548,-141.336517,1.000000,-2599.071045,962.311401,-412.400696,1.000000,-2555.498047,934.979370,-108.139091,1.000000,-2606.977295,1041.517456,-280.312012,1.000000,-2584.362305,715.363037,-435.340698,1.000000,-2661.697754,747.144836,-416.762909,1.000000,-2625.180664,623.235779,-424.489655,1.000000,-2696.376709,649.695679,-403.963287,1.000000,-2392.468018,748.365540,-112.749039,1.000000,-2465.465332,717.940430,-119.511200,1.000000,-2351.508301,659.228821,-127.385864,1.000000,-2424.619873,627.301147,-133.308380,1.000000,-2722.865234,535.854065,-406.290863,1.000000,-2353.428711,527.683350,-136.298203,1.000000,-2770.588867,437.657593,-404.338593,1.000000,-2829.361328,492.436188,-383.888733,1.000000,-2838.157471,363.560699,-386.626068,1.000000,-2891.331055,418.262756,-361.413147,1.000000,-2301.951904,430.046570,-154.282593,1.000000,-2376.553467,420.783478,-123.941223,1.000000,-2287.801025,332.003845,-168.921783,1.000000,-2368.426514,317.974670,-141.767090,1.000000,-2963.478516,247.547287,-345.339813,1.000000,-2313.923828,136.964661,-181.410065,1.000000,-2897.475342,75.244164,-306.814087,1.000000,-2951.218994,110.322433,-355.549683,1.000000,-2999.927490,290.309631,-281.060791,1.000000,-2136.039795,174.323456,-216.768631,1.000000,-2177.235596,125.236649,-159.549774,1.000000,-2364.668213,108.678322,-241.657364,1.000000,-2338.257568,92.478096,-274.485138,1.000000,-2350.573486,79.979118,-219.350082,1.000000,-3008.325684,270.446381,-248.796463,1.000000,-3030.093994,273.532684,-301.172028,1.000000
0.010000,-2464.794922,1442.582520,-444.023529,1.000000,-2550.570557,1445.768311,-136.665390,1.000000,-2471.306396,1034.323608,-431.711212,1.000000,-2488.321289,1049.876465,-121.551086,1.000000,-2436.632080,969.269531,-418.987701,1.000000,-2438.725830,998.194641,-141.520523,1.000000,-2581.531494,963.253235,-413.194336,1.000000,-2539.449707,935.159546,-109.022255,1.000000,-2589.531006,1042.368042,-280.642242,1.000000,-2566.840820,716.017578,-435.489471,1.000000,-2644.158936,748.442261,-416.973114,1.000000,-2607.997314,624.152222,-424.501831,1.000000,-2679.126953,651.400940,-404.347290,1.000000,-2376.233398,747.978577,-111.957741,1.000000,-2449.474609,718.426453,-120.312355,1.000000,-2336.026367,658.693909,-126.597870,1.000000,-2408.891357,627.300232,-133.238922,1.000000,-2706.520752,537.546997,-406.994507,1.000000,-2337.836914,527.171997,-137.820984,1.000000,-2755.655518,439.748810,-405.150604,1.000000,-2813.521973,496.181580,-384.143799,1.000000,-2825.689941,367.658813,-387.680420,1.000000,-2876.477051,422.939362,-361.245850,1.000000,-2283.292725,430.782227,-153.858688,1.000000,-2359.098633,419.980591,-125.518082,1.000000,-2266.802246,332.817200,-168.831818,1.000000,-2347.512451,317.050903,-143.060638,1.000000,-2952.973633,254.037399,-345.143524,1.000000,-2287.367188,137.092667,-182.650681,1.000000,-2891.394775,82.349083,-308.445160,1.000000,-2944.673828,118.011856,-356.960663,1.000000,-2988.404297,298.010468,-281.281525,1.000000,-2110.065186,180.758728,-217.144073,1.000000,-2148.729492,128.276520,-160.730103,1.000000,-2335.798096,108.085342,-242.880035,1.000000,-2310.108887,94.056625,-276.422791,1.000000,-2320.834473,79.417320,-220.354645,1.000000,-2997.121582,278.007233,-248.294235,1.000000,-3018.296387,281.713654,-299.709564,1.000000
0.015000,-2448.276367,1443.734619,-443.207977,1.000000,-2533.910156,1446.054443,-136.335373,1.000000,-2453.538818,1034.659546,-431.758026,1.000000,-2471.692139,1049.592529,-121.382874,1.000000,-2419.146729,969.702576,-419.333679,1.000000,-2421.664551,998.480713,-141.054047,1.000000,-2563.533447,964.151367,-414.214020,1.000000,-2523.030518,934.843201,-109.669868,1.000000,-2571.811035,1043.018799,-280.966400,1.000000,-2549.159668,716.602905,-435.717987,1.000000,-2626.506104,748.393250,-416.978088,1.000000,-2589.980713,624.251099,-425.078796,1.000000,-2661.348145,651.179688,-404.552094,1.000000,-2360.616455,747.482788,-111.249405,1.000000,-2433.990967,718.474609,-120.383224,1.000000,-2321.062500,657.658508,-126.431564,1.000000,-2394.358398,625.991272,-133.501007,1.000000,-2688.626221,538.081787,-407.823364,1.000000,-2321.447754,526.225647,-139.273911,1.000000,-2740.766113,441.541870,-405.607513,1.000000,-2796.546875,499.060547,-384.458923,1.000000,-2811.938232,371.106079,-387.795166,1.000000,-2861.516357,427.859192,-361.314423,1.000000,-2265.187988,431.555725,-154.593750,1.000000,-2340.095703,419.465057,-127.052452,1.000000,-2246.986572,334.485809,-169.267593,1.000000,-2326.340820,316.976135,-144.521164,1.000000,-2943.213867,261.545044,-345.331390,1.000000,-2261.432129,137.743179,-183.470520,1.000000,-2883.199463,89.461998,-309.852295,1.000000,-2936.797607,126.008110,-358.880768,1.000000,-2977.415039,305.371674,-280.422638,1.000000,-2085.483398,186.042023,-216.982681,1.000000,-2123.329102,131.582397,-162.546692,1.000000,-2310.011230,108.147095,-244.864609,1.000000,-2283.572021,95.272369,-278.283081,1.000000,-2293.668213,79.314201,-222.923035,1.000000,-2985.828613,285.446899,-247.553452,1.000000,-3007.970459,289.342743,-298.818115,1.000000
0.020000,-2431.370117,1444.281616,-442.433746,1.000000,-2516.849365,1445.603027,-135.168411,1.000000,-2436.031006,1035.162231,-432.210571,1.000000,-2454.298096,1049.053955,-121.087158,1.000000,-2401.178955,970.032715,-418.927124,1.000000,-2404.442139,998.216248,-141.260101,1.000000,-2546.063477,964.449036,-415.233521,1.000000,-2506.940918,934.372681,-110.720795,1.000000,-2554.454346,1043.187012,-281.361481,1.000000,-2531.054688,716.278809,-435.483704,1.000000,-2608.312256,747.987549,-417.026184,1.000000,-2571.087646,623.614746,-424.853699,1.000000,-2642.839600,650.783081,-404.790222,1.000000,-2344.687500,747.300293,-110.605659,1.000000,-2417.727051,717.592957,-120.238647,1.000000,-2305.743408,657.154236,-125.821861,1.000000,-2378.867920,625.685730,-133.886429,1.000000,-2670.390869,537.950562,-408.451233,1.000000,-2306.138916,526.008118,-139.596542,1.000000,-2724.919922,443.285522,-406.085022,1.000000,-2778.765869,501.732086,-385.043213,1.000000,-2797.694336,374.008881,-388.131348,1.000000,-2846.364990,432.854156,-362.224731,1.000000,-2248.361328,432.100800,-154.798004,1.000000,-2323.276611,418.522980,-128.935257,1.000000,-2226.361328,335.394623,-169.542114,1.000000,-2306.975342,316.239716,-146.314011,1.000000,-2932.234131,268.879883,-345.065796,1.000000,-2236.899902,138.448517,-184.619339,1.000000,-2873.963135,96.670387,-311.390350,1.000000,-2927.340332,133.645706,-360.103851,1.000000,-2966.698730,312.064240,-279.117645,1.000000,-2062.392578,190.791656,-217.476883,1.000000,-2099.035889,134.582092,-163.888382,1.000000,-2285.297607,108.731117,-248.040604,1.000000,-2257.909912,95.997650,-279.785187,1.000000,-2268.376221,79.198936,-224.683060,1.000000,-2974.881836,292.284546,-246.846512,1.000000,-2997.463623,296.985748,-298.038025,1.000000
0.025000,-2415.170410,1444.982422,-442.355255,1.000000,-2499.322266,1445.383423,-134.311005,1.000000,-2418.448486,1035.209106,-432.136383,1.000000,-2437.080811,1048.678101,-121.339653,1.000000,-2383.676514,970.192261,-418.793457,1.000000,-2387.000488,997.568909,-140.694321,1.000000,-2528.378906,964.591980,-416.419891,1.000000,-2489.505371,933.600403,-111.027267,1.000000,-2537.423584,1043.333374,-282.243622,1.000000,-2513.199219,715.880981,-435.951355,1.000000,-2589.897949,746.701904,-417.161835,1.000000,-2552.236816,623.446228,-425.237640,1.000000,-2624.627930,649.973083,-405.497833,1.000000,-2329.305664,745.958374,-110.341278,1.000000,-2401.795410,717.021240,-119.668037,1.000000,-2290.590820,656.220276,-125.011642,1.000000,-2363.061279,625.392151,-133.920029,1.000000,-2651.666260,537.438293,-409.415619,1.000000,-2288.954590,524.866028,-140.209457,1.000000,-2709.220459,444.164856,-407.318146,1.000000,-2761.149414,504.497009,-386.343750,1.000000,-2783.998779,377.683472,-388.816437,1.000000,-2830.815186,437.882751,-362.941193,1.000000,-2229.900635,432.665741,-155.224869,1.000000,-2305.173584,417.679565,-130.503052,1.000000,-2207.966797,336.331970,-170.226135,1.000000,-2287.651367,315.443756,-148.472443,1.000000,-2921.379150,276.540253,-345.268982,1.000000,-2214.081787,139.114334,-185.845383,1.000000,-2863.176758,104.102669,-313.034515,1.000000,-2916.901123,142.052872,-360.958466,1.000000,-2955.892090,319.223907,-278.756226,1.000000,-2040.566162,194.660263,-218.273392,1.000000,-2075.080078,137.313339,-164.751373,1.000000,-2260.924561,107.247810,-248.584808,1.000000,-2234.821289,97.132889,-281.421387,1.000000,-2244.144775,79.119438,-226.680191,1.000000,-2964.022461,298.642120,-246.469925,1.000000,-2986.788086,304.305969,-297.617188,1.000000
0.030000,-2398.025635,1444.582520,-441.305237,1.000000,-2482.537842,1444.453369,-133.530075,1.000000,-2400.302979,1034.417847,-432.268433,1.000000,-2419.998535,1047.659058,-120.906296,1.000000,-2366.142090,970.015686,-418.547699,1.000000,-2370.735596,996.879211,-140.352692,1.000000,-2511.097168,964.016602,-418.018738,1.000000,-2473.607666,932.850769,-111.902924,1.000000,-2519.756592,1042.823730,-282.467224,1.000000,-2493.112793,714.005798,-434.892395,1.000000,-2570.883057,744.839783,-417.149017,1.000000,-2532.800537,621.549805,-425.059814,1.000000,-2605.483887,648.250000,-405.943237,1.000000,-2313.595459,745.379028,-109.822685,1.000000,-2387.108887,716.167114,-119.912300,1.000000,-2273.927002,655.518372,-124.386818,1.000000,-2347.886230,624.674500,-134.159241,1.000000,-2632.041504,536.342651,-410.528900,1.000000,-2273.926758,523.863647,-140.677338,1.000000,-2692.271973,444.368774,-407.927673,1.000000,-2742.852539,506.663055,-387.446045,1.000000,-2769.356934,380.837067,-388.784576,1.000000,-2814.275635,442.229126,-363.582581,1.000000,-2210.866211,432.657196,-154.949020,1.000000,-2288.225342,416.572968,-132.498749,1.000000,-2187.119629,336.926666,-169.367050,1.000000,-2269.256348,314.868469,-150.574402,1.000000,-2909.513672,283.642975,-345.208496,1.000000,-2192.755615,139.337296,-187.036728,1.000000,-2852.039307,111.408165,-314.844208,1.000000,-2905.326172,149.728104,-361.802795,1.000000,-2944.271484,325.386261,-277.579529,1.000000,-2019.605591,197.579178,-219.022354,1.000000,-2054.080811,140.354874,-165.895935,1.000000,-2237.576904,105.997147,-249.496658,1.000000,-2212.140869,96.905281,-283.046570,1.000000,-2220.599609,79.511879,-228.086578,1.000000,-2953.234619,305.733917,-245.626465,1.000000,-2976.014893,311.286194,-298.298737,1.000000
0.035000,-2381.569580,1444.804199,-440.961121,1.000000,-2464.964600,1443.553345,-131.952179,1.000000,-2381.606689,1033.759644,-432.452271,1.000000,-2403.640869,1046.636963,-120.987366,1.000000,-2348.545654,969.448730,-418.361450,1.000000,-2352.930664,996.040344,-140.450775,1.000000,-2493.193359,963.099304,-419.195465,1.000000,-2457.349365,931.858398,-112.093590,1.000000,-2502.585693,1041.839600,-282.964417,1.000000,-2474.356201,712.964478,-435.257294,1.000000,-2551.922119,743.027771,-417.797882,1.000000,-2513.145020,620.125305,-426.109039,1.000000,-2585.996338,645.505493,-406.297729,1.000000,-2297.681152,744.009949,-108.997971,1.000000,-2371.376221,715.280518,-119.977646,1.000000,-2258.251709,654.311829,-124.322960,1.000000,-2332.819092,623.648743,-134.956512,1.000000,-2612.792480,534.733215,-411.539978,1.000000,-2256.668457,522.569153,-141.454132,1.000000,-2675.045654,444.615295,-408.055817,1.000000,-2723.808594,508.908630,-388.587982,1.000000,-2753.585449,383.084473,-388.829498,1.000000,-2797.692627,446.861572,-364.716125,1.000000,-2194.032227,432.210358,-155.830765,1.000000,-2271.161621,415.428864,-134.347656,1.000000,-2169.260010,336.922760,-170.468796,1.000000,-2250.763428,314.089935,-152.255020,1.000000,-2896.738525,290.642303,-344.802460,1.000000,-2171.396484,140.384125,-189.078384,1.000000,-2840.694824,118.793510,-316.158356,1.000000,-2893.643066,157.581589,-362.618225,1.000000,-2932.583984,333.109833,-277.583954,1.000000,-1999.439697,200.048325,-220.698883,1.000000,-2034.075439,142.625671,-166.801697,1.000000,-2216.506836,106.320068,-250.781876,1.000000,-2190.403809,96.531548,-284.466980,1.000000,-2199.973877,79.315094,-229.226669,1.000000,-2940.717529,312.000275,-245.518219,1.000000,-2964.179932,319.455231,-296.872131,1.000000
0.040000,-2364.593506,1443.870117,-440.854156,1.000000,-2447.782959,1442.465942,-131.313126,1.000000,-2365.395264,1033.663696,-432.281281,1.000000,-2387.286865,1045.702637,-120.684593,1.000000,-2330.576172,968.635681,-417.986420,1.000000,-2335.643799,995.533142,-139.389084,1.000000,-2475.552490,962.186829,-420.545105,1.000000,-2441.626709,930.540283,-113.658203,1.000000,-2486.208740,1041.292114,-284.025146,1.000000,-2455.011719,711.405029,-434.788635,1.000000,-2533.615723,740.976074,-418.332245,1.000000,-2493.385254,618.109070,-426.104584,1.000000,-2565.960205,642.855225,-406.823181,1.000000,-2281.983398,742.556702,-108.257744,1.000000,-2355.993896,714.460876,-120.057846,1.000000,-2243.060547,653.238037,-124.056610,1.000000,-2316.420898,622.391907,-135.401352,1.000000,-2592.372070,532.876831,-412.515381,1.000000,-2241.317139,521.794189,-143.643784,1.000000,-2657.270508,444.911224,-409.012726,1.000000,-2703.970215,509.988342,-389.525085,1.000000,-2737.555664,384.797058,-389.211731,1.000000,-2780.813721,451.211731,-366.873047,1.000000,-2177.037354,431.754120,-157.186554,1.000000,-2256.037354,414.469421,-135.516129,1.000000,-2151.253174,335.974091,-172.342712,1.000000,-2233.173828,313.123657,-153.649216,1.000000,-2883.099854,297.543915,-344.652527,1.000000,-2152.877441,139.777115,-190.748932,1.000000,-2828.352539,125.434502,-316.582733,1.000000,-2880.746826,165.009903,-363.607483,1.000000,-2918.973877,339.361053,-276.502441,1.000000,-1980.308350,201.263580,-220.974274,1.000000,-2015.327026,144.084808,-168.022766,1.000000,-2197.072266,105.829620,-253.039871,1.000000,-2169.910645,95.904671,-285.809296,1.000000,-2178.864502,79.386040,-230.553207,1.000000,-2928.075928,319.180145,-245.436813,1.000000,-2949.986084,325.959717,-296.676880,1.000000
0.045000,-2347.886963,1443.314575,-440.459198,1.000000,-2430.203125,1441.273682,-130.175369,1.000000,-2347.149902,1031.952759,-432.747345,1.000000,-2369.766357,1044.144775,-120.637817,1.000000,-2313.418701,967.933960,-417.838684,1.000000,-2319.156494,994.275024,-138.699753,1.000000,-2457.743652,960.597107,-421.674408,1.000000,-2424.821777,929.457764,-113.660713,1.000000,-2468.534912,1039.661987,-284.203033,1.000000,-2435.647705,709.524780,-435.027100,1.000000,-2514.186035,737.968262,-419.385590,1.000000,-2472.867920,615.683655,-426.349152,1.000000,-2546.025635,639.672363,-407.902832,1.000000,-2265.996826,741.451172,-107.557098,1.000000,-2339.954834,712.846497,-120.360359,1.000000,-2226.666504,652.034668,-124.383995,1.000000,-2300.753906,621.617493,-136.137268,1.000000,-2571.844727,530.871948,-413.837341,1.000000,-2225.415283,521.406616,-143.987640,1.000000,-2639.034912,444.563660,-409.225647,1.000000,-2684.287598,511.447205,-390.913391,1.000000,-2721.815674,388.482269,-389.265900,1.000000,-2762.362305,454.372864,-367.365326,1.000000,-2160.551270,431.049500,-158.336578,1.000000,-2239.365967,412.674805,-136.979538,1.000000,-2134.247803,335.182251,-173.713974,1.000000,-2215.469482,311.776215,-155.338181,1.000000,-2868.885498,304.659363,-344.954651,1.000000,-2133.841309,140.272644,-192.720886,1.000000,-2815.925293,132.175812,-317.445007,1.000000,-2867.753174,172.171280,-364.727875,1.000000,-2904.895264,346.442657,-276.321198,1.000000,-1961.887329,201.653549,-221.788712,1.000000,-1997.405640,145.013565,-168.323746,1.000000,-2178.364258,105.424721,-255.634064,1.000000,-2150.129150,94.740486,-287.776642,1.000000,-2160.929688,78.522697,-232.649429,1.000000,-2914.088379,325.854889,-245.016571,1.000000,-2935.601562,332.929260,-296.267578,1.000000
