Time_s,FP1_Fx,FP1_Fy,FP1_Fz,FP2_Fx,FP2_Fy,FP2_Fz
0.000000,2.804871,0.160278,-8.199585,1.362366,-1.041809,-1.892212
0.005000,1.362366,-0.881531,-7.884216,2.003479,-1.121948,-4.730530
0.010000,2.404175,-0.641113,-3.784424,-1.362366,0.320557,12.299378
0.015000,3.606262,-1.202087,0.946106,-0.560974,0.801392,1.576843
0.020000,2.083618,-0.721252,-2.207581,-1.121948,-2.163757,5.361267
0.025000,2.163757,0.240417,1.576843,-0.961670,-1.121948,-5.676636
0.030000,2.163757,1.522644,5.361267,-0.480835,0.641113,-5.992005
0.035000,2.324036,-0.480835,-3.784424,-1.442505,-2.003479,-0.315369
0.040000,2.885010,0.881531,5.992005,-0.160278,-0.400696,-6.307373
0.045000,2.724732,-2.724732,3.469055,-1.442505,1.041809,5.361267
0.050000,2.564453,-0.400696,-9.145691,0.881531,-1.121948,-2.207581
0.055000,3.045288,-0.400696,-2.522949,-0.320557,0.160278,-6.622742
0.060000,3.285706,1.522644,-5.992005,-0.961670,-0.721252,3.784424
0.065000,3.285706,-0.881531,3.784424,-0.080139,-1.202087,-8.830322
0.070000,2.564453,1.121948,-4.730530,0.320557,-1.442505,-6.307373
0.075000,2.484314,0.881531,-2.838318,0.881531,-0.480835,13.245484
0.080000,1.682922,-1.522644,-10.722534,-0.240417,-1.282227,-3.153687
0.085000,1.282227,-2.324036,-6.938111,-1.602783,-0.961670,-0.630737
0.090000,2.324036,-0.400696,1.261475,0.320557,-2.003479,-2.522949
0.095000,2.644592,-0.721252,-5.676636,0.641113,-0.080139,1.261475
0.100000,2.644592,1.682922,-6.622742,-0.160278,0.560974,14.191590
0.105000,1.121948,-0.240417,5.992005,0.480835,-0.801392,6.622742
0.110000,2.804871,0.400696,0.315369,0.560974,-2.484314,7.884216
0.115000,2.404175,-0.801392,-7.568848,2.003479,-0.560974,-1.261475
0.120000,2.083618,-0.480835,5.361267,-0.480835,-0.400696,4.730530
0.125000,2.564453,-0.400696,3.469055,0.961670,0.320557,2.838318
0.130000,2.324036,-0.641113,5.676636,-1.282227,-0.641113,-0.630737
0.135000,3.045288,-0.560974,-5.992005,0.240417,-0.000000,4.730530
0.140000,2.163757,1.041809,5.045899,-0.961670,0.961670,7.253479
0.145000,0.721252,-0.881531,-3.153687,-1.442505,-0.400696,-5.676636
0.150000,1.121948,-0.641113,-0.946106,1.362366,-2.484314,-8.199585
0.155000,1.682922,-0.400696,-4.730530,-1.121948,-0.801392,-3.153687
0.160000,1.843201,-2.243897,-8.199585,-0.160278,1.442505,1.892212
0.165000,1.682922,-1.121948,-8.514954,-2.243897,-0.560974,-8.199585
0.170000,1.763062,0.400696,-6.622742,-0.240417,1.843201,0.630737
0.175000,3.125427,1.362366,7.253479,-1.121948,-0.240417,-3.784424
0.180000,1.202087,-0.400696,-5.992005,-0.881531,-2.083618,-10.091797
0.185000,1.202087,-0.320557,-1.892212,-0.400696,0.400696,-6.622742
0.190000,3.045288,1.041809,-0.315369,-0.240417,-2.324036,-6.938111
0.195000,3.686401,-0.801392,-2.838318,-0.400696,-0.080139,-9.461060
0.200000,2.724732,-2.324036,-2.207581,0.480835,0.721252,5.992005
0.205000,3.606262,0.400696,2.207581,-2.324036,0.560974,5.992005
0.210000,1.843201,-1.362366,-7.568848,-1.282227,-2.003479,3.469055
0.215000,3.686401,-0.240417,-10.091797,-0.881531,-1.202087,0.315369
0.220000,3.125427,-1.522644,-3.469055,0.560974,-1.602783,-1.261475
0.225000,1.682922,-0.240417,-2.522949,-1.522644,-0.400696,-6.307373
0.230000,2.324036,1.522644,-3.784424,-0.801392,-0.160278,1.261475
0.235000,4.567932,-0.400696,-1.892212,-1.602783,-0.480835,5.361267
0.240000,2.484314,1.121948,-2.522949,-0.400696,0.240417,2.207581
0.245000,2.324036,0.480835,-5.045899,-0.080139,-2.804871,7.884216
0.250000,2.163757,-1.763062,1.892212,0.080139,-2.003479,-8.830322
0.255000,1.763062,-0.881531,-3.153687,0.160278,1.602783,7.568848
0.260000,2.163757,-0.320557,2.207581,1.041809,0.240417,0.630737
0.265000,2.163757,-0.000000,-0.630737,-0.320557,-2.243897,4.415161
0.270000,0.721252,-0.961670,-7.253479,1.041809,0.240417,0.630737
0.275000,2.324036,-0.320557,5.676636,-0.400696,-2.564453,-3.469055
0.280000,1.041809,-1.041809,-0.000000,-0.160278,0.240417,14.506958
0.285000,3.846680,-1.522644,-4.415161,-0.400696,-0.641113,-1.892212
0.290000,2.885010,1.682922,-1.892212,-1.682922,-2.083618,6.622742
0.295000,3.205566,-0.560974,0.315369,-0.480835,-2.724732,9.145691
0.300000,1.602783,0.160278,-8.830322,0.080139,-1.602783,5.045899
0.305000,2.243897,-0.560974,7.884216,-0.480835,-0.961670,3.153687
0.310000,1.041809,-1.202087,-5.045899,-1.041809,-2.564453,-1.892212
0.315000,0.961670,0.721252,-2.838318,-1.282227,-0.480835,1.892212
0.320000,1.522644,-0.160278,-1.892212,-2.083618,-0.560974,6.938111
0.325000,2.885010,-2.644592,0.946106,-0.320557,0.641113,5.676636
0.330000,1.362366,-0.641113,-2.838318,1.041809,-1.362366,-0.630737
0.335000,2.724732,0.560974,-2.838318,0.320557,-0.641113,-3.153687
0.340000,2.243897,-0.080139,-9.145691,0.801392,-1.763062,0.315369
0.345000,2.564453,-0.961670,-15.453064,-0.641113,-2.003479,1.892212
0.350000,2.404175,0.400696,-5.676636,-0.881531,2.243897,-1.261475
0.355000,3.365845,-0.641113,1.576843,-1.923340,-1.442505,6.622742
0.360000,2.484314,-0.320557,1.261475,-0.560974,-0.560974,-4.730530
0.365000,1.843201,0.641113,-7.568848,-0.881531,-1.121948,4.415161
0.370000,0.801392,-0.400696,0.315369,-3.205566,-0.801392,0.946106
0.375000,3.526123,-0.961670,1.892212,-2.003479,-0.801392,2.522949
0.380000,1.602783,0.080139,6.938111,-0.560974,-0.641113,13.245484
0.385000,2.324036,0.480835,-12.930115,0.240417,-1.202087,11.353272
0.390000,3.846680,0.480835,-1.261475,-0.721252,-2.243897,5.992005
0.395000,1.602783,-0.320557,-13.560852,0.480835,-0.721252,2.207581
0.400000,2.484314,2.885010,3.469055,-0.721252,-0.320557,-0.315369
