Time_s,LSHO_X,LSHO_Y,LSHO_Z,LSHO_Residual,RSHO_X,RSHO_Y,RSHO_Z,RSHO_Residual,LICST_X,LICST_Y,LICST_Z,LICST_Residual,RICST_X,RICST_Y,RICST_Z,RICST_Residual,LASIS_X,LASIS_Y,LASIS_Z,LASIS_Residual,RASIS_X,RASIS_Y,RASIS_Z,RASIS_Residual,LTROC_X,LTROC_Y,LTROC_Z,LTROC_Residual,RTROC_X,RTROC_Y,RTROC_Z,RTROC_Residual,SACR_X,SACR_Y,SACR_Z,SACR_Residual,LTH1_X,LTH1_Y,LTH1_Z,LTH1_Residual,LTH2_X,LTH2_Y,LTH2_Z,LTH2_Residual,LTH3_X,LTH3_Y,LTH3_Z,LTH3_Residual,LTH4_X,LTH4_Y,LTH4_Z,LTH4_Residual,RTH1_X,RTH1_Y,RTH1_Z,RTH1_Residual,RTH2_X,RTH2_Y,RTH2_Z,RTH2_Residual,RTH3_X,RTH3_Y,RTH3_Z,RTH3_Residual,RTH4_X,RTH4_Y,RTH4_Z,RTH4_Residual,LLEP_X,LLEP_Y,LLEP_Z,LLEP_Residual,RLEP_X,RLEP_Y,RLEP_Z,RLEP_Residual,LSK1_X,LSK1_Y,LSK1_Z,LSK1_Residual,LSK2_X,LSK2_Y,LSK2_Z,LSK2_Residual,LSK3_X,LSK3_Y,LSK3_Z,LSK3_Residual,LSK4_X,LSK4_Y,LSK4_Z,LSK4_Residual,RSK1_X,RSK1_Y,RSK1_Z,RSK1_Residual,RSK2_X,RSK2_Y,RSK2_Z,RSK2_Residual,RSK3_X,RSK3_Y,RSK3_Z,RSK3_Residual,RSK4_X,RSK4_Y,RSK4_Z,RSK4_Residual,LLME_X,LLME_Y,LLME_Z,LLME_Residual,RLME_X,RLME_Y,RLME_Z,RLME_Residual,LTOE_X,LTOE_Y,LTOE_Z,LTOE_Residual,LHM5_X,LHM5_Y,LHM5_Z,LHM5_Residual,LHEEL_X,LHEEL_Y,LHEEL_Z,LHEEL_Residual,RTOE_X,RTOE_Y,RTOE_Z,RTOE_Residual,RHM5_X,RHM5_Y,RHM5_Z,RHM5_Residual,RHEEL_X,RHEEL_Y,RHEEL_Z,RHEEL_Residual,RFT1_X,RFT1_Y,RFT1_Z,RFT1_Residual,RFT2_X,RFT2_Y,RFT2_Z,RFT2_Residual,LFT1_X,LFT1_Y,LFT1_Z,LFT1_Residual,LFT2_X,LFT2_Y,LFT2_Z,LFT2_Residual
0.000000,-2498.714600,446.189392,1439.787231,1.000000,-2584.786621,138.712830,1445.354736,1.000000,-2507.395752,431.717438,1031.994751,1.000000,-2523.600342,121.375061,1049.752319,1.000000,-2472.119141,419.072968,966.970459,1.000000,-2474.327393,141.099319,997.960022,1.000000,-2616.653320,411.832489,960.496643,1.000000,-2573.350098,107.609215,934.593384,1.000000,-2624.709473,280.285767,1040.569458,1.000000,-2601.603760,435.118622,714.270935,1.000000,-2678.489502,416.593170,745.388000,1.000000,-2642.226074,424.413025,622.269470,1.000000,-2713.928955,404.164032,649.157715,1.000000,-2408.179688,114.109764,749.163330,1.000000,-2481.270752,120.662819,717.906189,1.000000,-2367.354248,128.254028,660.017395,1.000000,-2440.181641,133.010818,627.365295,1.000000,-2738.776855,405.750153,534.035889,1.000000,-2369.619385,136.644150,527.973816,1.000000,-2784.589600,403.383911,434.857513,1.000000,-2844.553467,383.670380,488.054077,1.000000,-2850.804688,386.180878,359.148468,1.000000,-2905.387451,361.530792,412.998779,1.000000,-2320.153809,153.971985,429.247437,1.000000,-2394.833008,122.201591,423.295837,1.000000,-2309.587646,169.100021,330.285492,1.000000,-2389.897461,139.953110,318.233215,1.000000,-2973.838135,344.265198,240.429947,1.000000,-2342.386963,180.259827,137.009933,1.000000,-2903.459961,305.628784,71.781906,1.000000,-2957.864990,355.708893,104.725952,1.000000,-3012.872559,280.875549,282.346130,1.000000,-2162.917236,215.784653,167.344894,1.000000,-2206.694336,157.142120,121.207542,1.000000,-2394.341553,240.231201,109.849617,1.000000,-2368.396973,272.968353,91.171722,1.000000,-2381.003174,216.822479,81.471733,1.000000,-3021.222168,249.018738,262.234680,1.000000,-3041.826416,301.072754,264.562378,1.000000
0.005000,-2482.402832,445.523071,1441.466309,1.000000,-2568.246582,137.931534,1445.402832,1.000000,-2489.799561,431.899597,1033.697388,1.000000,-2505.996826,121.707130,1050.341553,1.000000,-2454.314453,419.023926,968.514771,1.000000,-2456.598633,141.336517,998.099548,1.000000,-2599.071045,412.400696,962.311401,1.000000,-2555.498047,108.139091,934.979370,1.000000,-2606.977295,280.312012,1041.517456,1.000000,-2584.362305,435.340698,715.363037,1.000000,-2661.697754,416.762909,747.144836,1.000000,-2625.180664,424.489655,623.235779,1.000000,-2696.376709,403.963287,649.695679,1.000000,-2392.468018,112.749039,748.365540,1.000000,-2465.465332,119.511200,717.940430,1.000000,-2351.508301,127.385864,659.228821,1.000000,-2424.619873,133.308380,627.301147,1.000000,-2722.865234,406.290863,535.854065,1.000000,-2353.428711,136.298203,527.683350,1.000000,-2770.588867,404.338593,437.657593,1.000000,-2829.361328,383.888733,492.436188,1.000000,-2838.157471,386.626068,363.560699,1.000000,-2891.331055,361.413147,418.262756,1.000000,-2301.951904,154.282593,430.046570,1.000000,-2376.553467,123.941223,420.783478,1.000000,-2287.801025,168.921783,332.003845,1.000000,-2368.426514,141.767090,317.974670,1.000000,-2963.478516,345.339813,247.547287,1.000000,-2313.923828,181.410065,136.964661,1.000000,-2897.475342,306.814087,75.244164,1.000000,-2951.218994,355.549683,110.322433,1.000000,-2999.927490,281.060791,290.309631,1.000000,-2136.039795,216.768631,174.323456,1.000000,-2177.235596,159.549774,125.236649,1.000000,-2364.668213,241.657364,108.678322,1.000000,-2338.257568,274.485138,92.478096,1.000000,-2350.573486,219.350082,79.979118,1.000000,-3008.325684,248.796463,270.446381,1.000000,-3030.093994,301.172028,273.532684,1.000000
0.010000,-2464.794922,444.023529,1442.582520,1.000000,-2550.570557,136.665390,1445.768311,1.000000,-2471.306396,431.711212,1034.323608,1.000000,-2488.321289,121.551086,1049.876465,1.000000,-2436.632080,418.987701,969.269531,1.000000,-2438.725830,141.520523,998.194641,1.000000,-2581.531494,413.194336,963.253235,1.000000,-2539.449707,109.022255,935.159546,1.000000,-2589.531006,280.642242,1042.368042,1.000000,-2566.840820,435.489471,716.017578,1.000000,-2644.158936,416.973114,748.442261,1.000000,-2607.997314,424.501831,624.152222,1.000000,-2679.126953,404.347290,651.400940,1.000000,-2376.233398,111.957741,747.978577,1.000000,-2449.474609,120.312355,718.426453,1.000000,-2336.026367,126.597870,658.693909,1.000000,-2408.891357,133.238922,627.300232,1.000000,-2706.520752,406.994507,537.546997,1.000000,-2337.836914,137.820984,527.171997,1.000000,-2755.655518,405.150604,439.748810,1.000000,-2813.521973,384.143799,496.181580,1.000000,-2825.689941,387.680420,367.658813,1.000000,-2876.477051,361.245850,422.939362,1.000000,-2283.292725,153.858688,430.782227,1.000000,-2359.098633,125.518082,419.980591,1.000000,-2266.802246,168.831818,332.817200,1.000000,-2347.512451,143.060638,317.050903,1.000000,-2952.973633,345.143524,254.037399,1.000000,-2287.367188,182.650681,137.092667,1.000000,-2891.394775,308.445160,82.349083,1.000000,-2944.673828,356.960663,118.011856,1.000000,-2988.404297,281.281525,298.010468,1.000000,-2110.065186,217.144073,180.758728,1.000000,-2148.729492,160.730103,128.276520,1.000000,-2335.798096,242.880035,108.085342,1.000000,-2310.108887,276.422791,94.056625,1.000000,-2320.834473,220.354645,79.417320,1.000000,-2997.121582,248.294235,278.007233,1.000000,-3018.296387,299.709564,281.713654,1.000000
0.015000,-2448.276367,443.207977,1443.734619,1.000000,-2533.910156,136.335373,1446.054443,1.000000,-2453.538818,431.758026,1034.659546,1.000000,-2471.692139,121.382874,1049.592529,1.000000,-2419.146729,419.333679,969.702576,1.000000,-2421.664551,141.054047,998.480713,1.000000,-2563.533447,414.214020,964.151367,1.000000,-2523.030518,109.669868,934.843201,1.000000,-2571.811035,280.966400,1043.018799,1.000000,-2549.159668,435.717987,716.602905,1.000000,-2626.506104,416.978088,748.393250,1.000000,-2589.980713,425.078796,624.251099,1.000000,-2661.348145,404.552094,651.179688,1.000000,-2360.616455,111.249405,747.482788,1.000000,-2433.990967,120.383224,718.474609,1.000000,-2321.062500,126.431564,657.658508,1.000000,-2394.358398,133.501007,625.991272,1.000000,-2688.626221,407.823364,538.081787,1.000000,-2321.447754,139.273911,526.225647,1.000000,-2740.766113,405.607513,441.541870,1.000000,-2796.546875,384.458923,499.060547,1.000000,-2811.938232,387.795166,371.106079,1.000000,-2861.516357,361.314423,427.859192,1.000000,-2265.187988,154.593750,431.555725,1.000000,-2340.095703,127.052452,419.465057,1.000000,-2246.986572,169.267593,334.485809,1.000000,-2326.340820,144.521164,316.976135,1.000000,-2943.213867,345.331390,261.545044,1.000000,-2261.432129,183.470520,137.743179,1.000000,-2883.199463,309.852295,89.461998,1.000000,-2936.797607,358.880768,126.008110,1.000000,-2977.415039,280.422638,305.371674,1.000000,-2085.483398,216.982681,186.042023,1.000000,-2123.329102,162.546692,131.582397,1.000000,-2310.011230,244.864609,108.147095,1.000000,-2283.572021,278.283081,95.272369,1.000000,-2293.668213,222.923035,79.314201,1.000000,-2985.828613,247.553452,285.446899,1.000000,-3007.970459,298.818115,289.342743,1.000000
0.020000,-2431.370117,442.433746,1444.281616,1.000000,-2516.849365,135.168411,1445.603027,1.000000,-2436.031006,432.210571,1035.162231,1.000000,-2454.298096,121.087158,1049.053955,1.000000,-2401.178955,418.927124,970.032715,1.000000,-2404.442139,141.260101,998.216248,1.000000,-2546.063477,415.233521,964.449036,1.000000,-2506.940918,110.720795,934.372681,1.000000,-2554.454346,281.361481,1043.187012,1.000000,-2531.054688,435.483704,716.278809,1.000000,-2608.312256,417.026184,747.987549,1.000000,-2571.087646,424.853699,623.614746,1.000000,-2642.839600,404.790222,650.783081,1.000000,-2344.687500,110.605659,747.300293,1.000000,-2417.727051,120.238647,717.592957,1.000000,-2305.743408,125.821861,657.154236,1.000000,-2378.867920,133.886429,625.685730,1.000000,-2670.390869,408.451233,537.950562,1.000000,-2306.138916,139.596542,526.008118,1.000000,-2724.919922,406.085022,443.285522,1.000000,-2778.765869,385.043213,501.732086,1.000000,-2797.694336,388.131348,374.008881,1.000000,-2846.364990,362.224731,432.854156,1.000000,-2248.361328,154.798004,432.100800,1.000000,-2323.276611,128.935257,418.522980,1.000000,-2226.361328,169.542114,335.394623,1.000000,-2306.975342,146.314011,316.239716,1.000000,-2932.234131,345.065796,268.879883,1.000000,-2236.899902,184.619339,138.448517,1.000000,-2873.963135,311.390350,96.670387,1.000000,-2927.340332,360.103851,133.645706,1.000000,-2966.698730,279.117645,312.064240,1.000000,-2062.392578,217.476883,190.791656,1.000000,-2099.035889,163.888382,134.582092,1.000000,-2285.297607,248.040604,108.731117,1.000000,-2257.909912,279.785187,95.997650,1.000000,-2268.376221,224.683060,79.198936,1.000000,-2974.881836,246.846512,292.284546,1.000000,-2997.463623,298.038025,296.985748,1.000000
0.025000,-2415.170410,442.355255,1444.982422,1.000000,-2499.322266,134.311005,1445.383423,1.000000,-2418.448486,432.136383,1035.209106,1.000000,-2437.080811,121.339653,1048.678101,1.000000,-2383.676514,418.793457,970.192261,1.000000,-2387.000488,140.694321,997.568909,1.000000,-2528.378906,416.419891,964.591980,1.000000,-2489.505371,111.027267,933.600403,1.000000,-2537.423584,282.243622,1043.333374,1.000000,-2513.199219,435.951355,715.880981,1.000000,-2589.897949,417.161835,746.701904,1.000000,-2552.236816,425.237640,623.446228,1.000000,-2624.627930,405.497833,649.973083,1.000000,-2329.305664,110.341278,745.958374,1.000000,-2401.795410,119.668037,717.021240,1.000000,-2290.590820,125.011642,656.220276,1.000000,-2363.061279,133.920029,625.392151,1.000000,-2651.666260,409.415619,537.438293,1.000000,-2288.954590,140.209457,524.866028,1.000000,-2709.220459,407.318146,444.164856,1.000000,-2761.149414,386.343750,504.497009,1.000000,-2783.998779,388.816437,377.683472,1.000000,-2830.815186,362.941193,437.882751,1.000000,-2229.900635,155.224869,432.665741,1.000000,-2305.173584,130.503052,417.679565,1.000000,-2207.966797,170.226135,336.331970,1.000000,-2287.651367,148.472443,315.443756,1.000000,-2921.379150,345.268982,276.540253,1.000000,-2214.081787,185.845383,139.114334,1.000000,-2863.176758,313.034515,104.102669,1.000000,-2916.901123,360.958466,142.052872,1.000000,-2955.892090,278.756226,319.223907,1.000000,-2040.566162,218.273392,194.660263,1.000000,-2075.080078,164.751373,137.313339,1.000000,-2260.924561,248.584808,107.247810,1.000000,-2234.821289,281.421387,97.132889,1.000000,-2244.144775,226.680191,79.119438,1.000000,-2964.022461,246.469925,298.642120,1.000000,-2986.788086,297.617188,304.305969,1.000000
0.030000,-2398.025635,441.305237,1444.582520,1.000000,-2482.537842,133.530075,1444.453369,1.000000,-2400.302979,432.268433,1034.417847,1.000000,-2419.998535,120.906296,1047.659058,1.000000,-2366.142090,418.547699,970.015686,1.000000,-2370.735596,140.352692,996.879211,1.000000,-2511.097168,418.018738,964.016602,1.000000,-2473.607666,111.902924,932.850769,1.000000,-2519.756592,282.467224,1042.823730,1.000000,-2493.112793,434.892395,714.005798,1.000000,-2570.883057,417.149017,744.839783,1.000000,-2532.800537,425.059814,621.549805,1.000000,-2605.483887,405.943237,648.250000,1.000000,-2313.595459,109.822685,745.379028,1.000000,-2387.108887,119.912300,716.167114,1.000000,-2273.927002,124.386818,655.518372,1.000000,-2347.886230,134.159241,624.674500,1.000000,-2632.041504,410.528900,536.342651,1.000000,-2273.926758,140.677338,523.863647,1.000000,-2692.271973,407.927673,444.368774,1.000000,-2742.852539,387.446045,506.663055,1.000000,-2769.356934,388.784576,380.837067,1.000000,-2814.275635,363.582581,442.229126,1.000000,-2210.866211,154.949020,432.657196,1.000000,-2288.225342,132.498749,416.572968,1.000000,-2187.119629,169.367050,336.926666,1.000000,-2269.256348,150.574402,314.868469,1.000000,-2909.513672,345.208496,283.642975,1.000000,-2192.755615,187.036728,139.337296,1.000000,-2852.039307,314.844208,111.408165,1.000000,-2905.326172,361.802795,149.728104,1.000000,-2944.271484,277.579529,325.386261,1.000000,-2019.605591,219.022354,197.579178,1.000000,-2054.080811,165.895935,140.354874,1.000000,-2237.576904,249.496658,105.997147,1.000000,-2212.140869,283.046570,96.905281,1.000000,-2220.599609,228.086578,79.511879,1.000000,-2953.234619,245.626465,305.733917,1.000000,-2976.014893,298.298737,311.286194,1.000000
0.035000,-2381.569580,440.961121,1444.804199,1.000000,-2464.964600,131.952179,1443.553345,1.000000,-2381.606689,432.452271,1033.759644,1.000000,-2403.640869,120.987366,1046.636963,1.000000,-2348.545654,418.361450,969.448730,1.000000,-2352.930664,140.450775,996.040344,1.000000,-2493.193359,419.195465,963.099304,1.000000,-2457.349365,112.093590,931.858398,1.000000,-2502.585693,282.964417,1041.839600,1.000000,-2474.356201,435.257294,712.964478,1.000000,-2551.922119,417.797882,743.027771,1.000000,-2513.145020,426.109039,620.125305,1.000000,-2585.996338,406.297729,645.505493,1.000000,-2297.681152,108.997971,744.009949,1.000000,-2371.376221,119.977646,715.280518,1.000000,-2258.251709,124.322960,654.311829,1.000000,-2332.819092,134.956512,623.648743,1.000000,-2612.792480,411.539978,534.733215,1.000000,-2256.668457,141.454132,522.569153,1.000000,-2675.045654,408.055817,444.615295,1.000000,-2723.808594,388.587982,508.908630,1.000000,-2753.585449,388.829498,383.084473,1.000000,-2797.692627,364.716125,446.861572,1.000000,-2194.032227,155.830765,432.210358,1.000000,-2271.161621,134.347656,415.428864,1.000000,-2169.260010,170.468796,336.922760,1.000000,-2250.763428,152.255020,314.089935,1.000000,-2896.738525,344.802460,290.642303,1.000000,-2171.396484,189.078384,140.384125,1.000000,-2840.694824,316.158356,118.793510,1.000000,-2893.643066,362.618225,157.581589,1.000000,-2932.583984,277.583954,333.109833,1.000000,-1999.439697,220.698883,200.048325,1.000000,-2034.075439,166.801697,142.625671,1.000000,-2216.506836,250.781876,106.320068,1.000000,-2190.403809,284.466980,96.531548,1.000000,-2199.973877,229.226669,79.315094,1.000000,-2940.717529,245.518219,312.000275,1.000000,-2964.179932,296.872131,319.455231,1.000000
0.040000,-2364.593506,440.854156,1443.870117,1.000000,-2447.782959,131.313126,1442.465942,1.000000,-2365.395264,432.281281,1033.663696,1.000000,-2387.286865,120.684593,1045.702637,1.000000,-2330.576172,417.986420,968.635681,1.000000,-2335.643799,139.389084,995.533142,1.000000,-2475.552490,420.545105,962.186829,1.000000,-2441.626709,113.658203,930.540283,1.000000,-2486.208740,284.025146,1041.292114,1.000000,-2455.011719,434.788635,711.405029,1.000000,-2533.615723,418.332245,740.976074,1.000000,-2493.385254,426.104584,618.109070,1.000000,-2565.960205,406.823181,642.855225,1.000000,-2281.983398,108.257744,742.556702,1.000000,-2355.993896,120.057846,714.460876,1.000000,-2243.060547,124.056610,653.238037,1.000000,-2316.420898,135.401352,622.391907,1.000000,-2592.372070,412.515381,532.876831,1.000000,-2241.317139,143.643784,521.794189,1.000000,-2657.270508,409.012726,444.911224,1.000000,-2703.970215,389.525085,509.988342,1.000000,-2737.555664,389.211731,384.797058,1.000000,-2780.813721,366.873047,451.211731,1.000000,-2177.037354,157.186554,431.754120,1.000000,-2256.037354,135.516129,414.469421,1.000000,-2151.253174,172.342712,335.974091,1.000000,-2233.173828,153.649216,313.123657,1.000000,-2883.099854,344.652527,297.543915,1.000000,-2152.877441,190.748932,139.777115,1.000000,-2828.352539,316.582733,125.434502,1.000000,-2880.746826,363.607483,165.009903,1.000000,-2918.973877,276.502441,339.361053,1.000000,-1980.308350,220.974274,201.263580,1.000000,-2015.327026,168.022766,144.084808,1.000000,-2197.072266,253.039871,105.829620,1.000000,-2169.910645,285.809296,95.904671,1.000000,-2178.864502,230.553207,79.386040,1.000000,-2928.075928,245.436813,319.180145,1.000000,-2949.986084,296.676880,325.959717,1.000000
0.045000,-2347.886963,440.459198,1443.314575,1.000000,-2430.203125,130.175369,1441.273682,1.000000,-2347.149902,432.747345,1031.952759,1.000000,-2369.766357,120.637817,1044.144775,1.000000,-2313.418701,417.838684,967.933960,1.000000,-2319.156494,138.699753,994.275024,1.000000,-2457.743652,421.674408,960.597107,1.000000,-2424.821777,113.660713,929.457764,1.000000,-2468.534912,284.203033,1039.661987,1.000000,-2435.647705,435.027100,709.524780,1.000000,-2514.186035,419.385590,737.968262,1.000000,-2472.867920,426.349152,615.683655,1.000000,-2546.025635,407.902832,639.672363,1.000000,-2265.996826,107.557098,741.451172,1.000000,-2339.954834,120.360359,712.846497,1.000000,-2226.666504,124.383995,652.034668,1.000000,-2300.753906,136.137268,621.617493,1.000000,-2571.844727,413.837341,530.871948,1.000000,-2225.415283,143.987640,521.406616,1.000000,-2639.034912,409.225647,444.563660,1.000000,-2684.287598,390.913391,511.447205,1.000000,-2721.815674,389.265900,388.482269,1.000000,-2762.362305,367.365326,454.372864,1.000000,-2160.551270,158.336578,431.049500,1.000000,-2239.365967,136.979538,412.674805,1.000000,-2134.247803,173.713974,335.182251,1.000000,-2215.469482,155.338181,311.776215,1.000000,-2868.885498,344.954651,304.659363,1.000000,-2133.841309,192.720886,140.272644,1.000000,-2815.925293,317.445007,132.175812,1.000000,-2867.753174,364.727875,172.171280,1.000000,-2904.895264,276.321198,346.442657,1.000000,-1961.887329,221.788712,201.653549,1.000000,-1997.405640,168.323746,145.013565,1.000000,-2178.364258,255.634064,105.424721,1.000000,-2150.129150,287.776642,94.740486,1.000000,-2160.929688,232.649429,78.522697,1.000000,-2914.088379,245.016571,325.854889,1.000000,-2935.601562,296.267578,332.929260,1.000000
