=== 1. Descriptive Statistics (描述性统计: Mean ± SD) ===
Group,Stiffness,Mean,SD,N
Amateur,T1,24.349354845615384,11.420757603653284,13
Amateur,T2,28.08037979,12.533705994177497,13
Amateur,T3,28.366251290357145,12.00858783903253,13
Elite,T1,24.281084471112873,6.649971742821087,18
Elite,T2,25.614966858292988,7.729524052270012,18
Elite,T3,24.399607107760584,7.7241459270260995,18

Amateur,26.931995308657513,11.822593090554665,39,Total_Average
Elite,24.76521947905548,7.270169052090331,54,Total_Average


=== 2. ANOVA Results (方差分析结果) ===
Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
Group,106.31716393596109,1,29,106.31716393596109,0.40571996503191526,0.5291465185668585,,0.013797314451555034,,,,
Stiffness,91.85173542320317,2,58,45.92586771160158,7.334158410327171,0.0014467846263978735,0.003371175482520239,0.20185298713957828,0.9370842065548077,True,0.9328600428801881,0.36503888137302537
Interaction,58.36741523727687,2,58,29.183707618638437,4.660509323848811,0.013275232304813303,,0.1384562924764419,,,,


=== 3. Post-Hoc Results (事后检验结果) ===
Type,Group,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,Stiffness_Level
Simple_Main_Effect,Amateur,Stiffness,T1,T2,True,True,-4.404125514388386,12.0,two-sided,0.000859155074876648,0.002577465224629944,bonf,45.085,-0.3013475644537463,
Simple_Main_Effect,Amateur,Stiffness,T1,T3,True,True,-3.394370096184127,12.0,two-sided,0.005324822219151806,0.015974466657455416,bonf,9.723,-0.3319617539176419,
Simple_Main_Effect,Amateur,Stiffness,T2,T3,True,True,-0.27000689809679435,12.0,two-sided,0.7917422985200998,1.0,bonf,0.287,-0.022555400255085935,
Simple_Main_Effect,Elite,Stiffness,T1,T2,True,True,-1.601645619211985,17.0,two-sided,0.12765129527483443,0.3829538858245033,bonf,0.712,-0.18089374537845784,
Simple_Main_Effect,Elite,Stiffness,T1,T3,True,True,-0.14749033702276151,17.0,two-sided,0.8844801479476792,1.0,bonf,0.245,-0.016079812264060415,
Simple_Main_Effect,Elite,Stiffness,T2,T3,True,True,1.6097268716496809,17.0,two-sided,0.12586843508839482,0.37760530526518443,bonf,0.72,0.15379540079534565,
Between_Group,,Group,Amateur,Elite,False,True,0.019317393132302983,17.841080709326913,two-sided,0.9848023081523387,,,0.344,0.007438583994465916,T1
Between_Group,,Group,Amateur,Elite,False,True,0.6281773903907248,18.51166778706442,two-sided,0.5375614203665324,,,0.399,0.24007668405698837,T2
Between_Group,,Group,Amateur,Elite,False,True,1.0450353958769067,19.04258808432478,two-sided,0.3090917880872171,,,0.519,0.3970929500323209,T3
Main_Effect_Stiffness,,Stiffness,T1,T2,True,True,-3.7207030932684813,30.0,two-sided,0.0008176042130221788,0.002452812639066536,bonf,39.247,-0.2466037800310263,
Main_Effect_Stiffness,,Stiffness,T1,T3,True,True,-2.320830409560899,30.0,two-sided,0.027279203373948523,0.08183761012184557,bonf,1.928,-0.18632253448861044,
Main_Effect_Stiffness,,Stiffness,T2,T3,True,True,0.9334091456113667,30.0,two-sided,0.35806104079719026,1.0,bonf,0.286,0.05878308924707323,
